Participant,Paragraph,Gazes,AOIGazes,OffScreenGazesPix,OffScreenGazesProp,avg_response_to_tut,avg_correctness_score,avg_question_rt,avg_text_rt,cluster_num_clusters,cluster_avg_duration,cluster_sd_duration,cluster_skew_duration,dispersion
593890eac6aa16000101f037,1,699,138,181,301,0.4285714285714285,0.7,9.1373400000012,8.1501275,6,0.0481833333273771,0.0133130637657947,-2.332043483151516,0.537244565169181
593890eac6aa16000101f037,2,727,98,260,352,0.4285714285714285,0.7,9.1373400000012,8.1501275,9,0.0447888888902219,0.0207405065309217,-1.676086529800189,0.4150777048388649
593890eac6aa16000101f037,3,947,248,220,356,0.4285714285714285,0.7,9.1373400000012,8.1501275,17,0.0465176470612809,0.0161345218144613,-1.918290560398734,0.420964075960464
593890eac6aa16000101f037,4,799,171,282,422,0.4285714285714285,0.7,9.1373400000012,8.1501275,16,0.0515875000003731,0.0164072290996534,-1.547033111546394,0.5216293387093549
593890eac6aa16000101f037,6,452,176,42,84,0.4285714285714285,0.7,9.1373400000012,8.1501275,6,0.0423833333363232,0.0171409937531238,-0.966877798922655,0.6309152835499057
593890eac6aa16000101f037,13,767,537,26,136,0.4285714285714285,0.7,9.1373400000012,8.1501275,12,0.0426416666661665,0.0172713877064623,-1.6465999896324832,0.3908394189579614
593890eac6aa16000101f037,30,542,311,48,158,0.4285714285714285,0.7,9.1373400000012,8.1501275,10,0.0402699999982124,0.0178727632677524,-1.4088693002938446,0.5593746841971753
593890eac6aa16000101f037,34,623,194,32,74,0.4285714285714285,0.7,9.1373400000012,8.1501275,12,0.0456500000059641,0.0166558480038759,-2.2265736748918057,0.3518393755452761
593890eac6aa16000101f037,35,316,134,27,55,0.4285714285714285,0.7,9.1373400000012,8.1501275,5,0.0311399999916829,0.0284411321780021,-0.6039588165596751,0.7262425756142379
593890eac6aa16000101f037,36,386,154,34,92,0.4285714285714285,0.7,9.1373400000012,8.1501275,4,0.0396499999910931,0.0185739064271722,-0.0463434319261302,0.5267931373193033
593890eac6aa16000101f037,37,686,308,104,205,0.4285714285714285,0.7,9.1373400000012,8.1501275,8,0.3647249999932965,0.4996848599704407,1.359960499235469,0.5211896895285366
593890eac6aa16000101f037,38,1049,624,116,258,0.4285714285714285,0.7,9.1373400000012,8.1501275,14,0.045864285713841,0.0155247002767462,-2.605870914344085,0.3868984158726972
593890eac6aa16000101f037,39,94,44,6,18,0.4285714285714285,0.7,9.1373400000012,8.1501275,4,0.0342999999925727,0.0163454376903925,0.0340952098879784,0.6034203968632127
596e1af7a09655000197d4bb,1,416,45,156,212,0.0,0.8,7.941150000000027,8.258325,51,0.0504549019598473,0.0099261334654096,1.1327222525080765,0.508165433245317
596e1af7a09655000197d4bb,2,527,16,241,298,0.0,0.8,7.941150000000027,8.258325,84,0.0490107142869893,0.0123480647494735,1.5491667230022312,0.3855904200913863
596e1af7a09655000197d4bb,3,455,27,227,264,0.0,0.8,7.941150000000027,8.258325,71,0.0499352112681064,0.0125307176670304,-1.1030782912250736,0.5155348731773861
596e1af7a09655000197d4bb,4,567,126,196,237,0.0,0.8,7.941150000000027,8.258325,113,0.0506796460173809,0.0132295405321007,3.395912087693364,0.4777339221437421
596e1af7a09655000197d4bb,6,228,18,62,93,0.0,0.8,7.941150000000027,8.258325,44,0.0476863636407068,0.0075392181132666,-0.6295505704451608,0.5027371808599382
596e1af7a09655000197d4bb,13,388,85,143,182,0.0,0.8,7.941150000000027,8.258325,64,0.0517484375052135,0.0116730593641626,2.523903438488348,0.5293084042474042
596e1af7a09655000197d4bb,30,333,125,33,89,0.0,0.8,7.941150000000027,8.258325,64,0.0439265624994476,0.0129907811248524,2.597720748074213,0.3608774386482875
596e1af7a09655000197d4bb,34,386,63,148,196,0.0,0.8,7.941150000000027,8.258325,78,0.050391025640104,0.0113605970407469,-0.601972270750361,0.4441726155001075
596e1af7a09655000197d4bb,35,165,0,102,109,0.0,0.8,7.941150000000027,8.258325,35,0.0487971428534036,0.0143654300202973,-2.2325103609989343,0.5420766805041894
596e1af7a09655000197d4bb,36,228,0,96,120,0.0,0.8,7.941150000000027,8.258325,43,0.0501279069814516,0.0069992967538185,1.1946533765296905,0.4593106678969736
596e1af7a09655000197d4bb,37,348,26,99,153,0.0,0.8,7.941150000000027,8.258325,65,0.0521215384595333,0.015396737605025,2.818630418632546,0.3947254213092808
596e1af7a09655000197d4bb,38,490,132,137,211,0.0,0.8,7.941150000000027,8.258325,81,0.0494493827159023,0.0122822954300262,3.633171566809657,0.4884162222016193
596e1af7a09655000197d4bb,39,87,3,27,49,0.0,0.8,7.941150000000027,8.258325,22,0.0478636363652661,0.0137587217527132,-1.778403908524389,0.3682352589387345
5af835d8e19f8c00019e6dc0,1,830,136,136,253,0.0,0.8,15.836520000001798,15.01376,138,0.033605797101148,0.0205805689965713,0.8647028394192635,0.4532319974522439
5af835d8e19f8c00019e6dc0,2,1537,347,222,472,0.0,0.8,15.836520000001798,15.01376,324,0.0320240740720711,0.0208272692932045,1.0127134650397656,0.2899829917907304
5af835d8e19f8c00019e6dc0,3,989,293,120,207,0.0,0.8,15.836520000001798,15.01376,242,0.0272512396692239,0.0180857093383283,1.4147563456342889,0.3851706906616599
5af835d8e19f8c00019e6dc0,4,1630,613,99,300,0.0,0.8,15.836520000001798,15.01376,391,0.0271005115084475,0.017384377004509,1.4746493044185112,0.3597944823671625
5af835d8e19f8c00019e6dc0,6,936,259,141,249,0.0,0.8,15.836520000001798,15.01376,179,0.0336251396646758,0.0184749172308244,0.5164142635045338,0.3779758824754405
5af835d8e19f8c00019e6dc0,13,2121,126,600,882,0.0,0.8,15.836520000001798,15.01376,243,0.052474897119516,0.0101504583768015,1.8789411658289,0.2997787710432199
5af835d8e19f8c00019e6dc0,30,1493,36,635,835,0.0,0.8,15.836520000001798,15.01376,147,0.0511122448975932,0.0095227981509084,2.3050691286176592,0.3580737838153403
5af835d8e19f8c00019e6dc0,34,1002,0,446,616,0.0,0.8,15.836520000001798,15.01376,135,0.0501807407409071,0.0063330040081865,8.129307891117444,0.3039722890140011
5af835d8e19f8c00019e6dc0,35,860,2,503,573,0.0,0.8,15.836520000001798,15.01376,89,0.0513146067401014,0.0118536391667001,0.0688635608700548,0.3431138009593917
5af835d8e19f8c00019e6dc0,36,1020,52,522,606,0.0,0.8,15.836520000001798,15.01376,88,0.0532659090909003,0.0121095372921605,1.1380271788712597,0.362505469085231
5af835d8e19f8c00019e6dc0,37,1761,366,515,725,0.0,0.8,15.836520000001798,15.01376,69,0.0509985507247379,0.0097340139348782,1.007043370665448,0.3332291066535965
