Participant,Question,Correct,Paragraph,Question_RT,Gazes,AOIGazes,OffScreenGazesPix,OffScreenGazesProp,cluster_num_clusters,cluster_avg_duration,cluster_sd_duration,cluster_skew_duration,dispersion
593890eac6aa16000101f037,1,1,1,-0.708886038174135,-0.11990188743963687,-0.5048231927014301,0.1379532190986999,0.40428449344401307,-0.5348602996935177,-0.07142025269423,-0.1058324381345684,-1.3503251074779223,0.3514374118118019
596e1af7a09655000197d4bb,1,1,1,-0.5448512273490411,-0.5540312301108361,-0.7532416996650849,0.03718002170881139,0.07962030728230185,-0.18184133813774697,-0.06858529022526172,-0.12204153745327491,0.33955856984191185,0.19643999762760617
5af835d8e19f8c00019e6dc0,1,1,1,0.08544755201014018,0.08105551146469915,-0.5101655261845194,-0.04343853620309941,0.22918470764893287,0.500661987536743,-0.08961330550392847,-0.07105176547901272,0.20883641834920683,-0.09636587162849723
5b07b71c68eff50001d1c859,1,1,1,-0.8559588504968645,-0.7902712257693685,-0.6250256960709405,-0.4021911189111025,-0.5003977331639013,-0.47210137319471396,-0.03099927084681642,0.0011468794089515588,1.2383324622118987,-0.6177269040863468
5bd7971b0aac450001f951aa,1,1,1,-0.06766468156216915,-0.2395559112147377,-0.37393602236574086,-0.46265503734503555,-0.4237915768785538,-0.28382459369830293,-0.030717293449075114,-0.09547706521799534,-2.1157411880418873,0.001605535683898928
5c6477fe4f0ea90001782441,1,1,1,-0.5185771639373488,-0.46198967336075847,-0.5689311944985023,-0.37800555153752924,-0.38001663042978373,-0.4328770441329617,-0.09128894571729691,-0.11139948803314963,-0.1116418681181501,-0.23196495418660737
5cb568ebf0e31e0017d9bf32,1,0,1,-0.6928325338075372,-0.31472318256063436,-0.6677643639356553,-0.19661379623572992,-0.28517091312411524,-0.47994623900706446,-0.07376108968662026,-0.07826710388976808,-0.43331202340203484,-0.2121322839970188
5d4459c166881d001c4d5451,1,1,1,-0.9103136417984578,-0.23648785932306846,-0.6837913643849234,-0.45862410944944004,-0.015225410023366599,0.29669547641563104,-0.08719024483828727,-0.07114795027427716,-0.08227317862894927,0.08395099565635737
5d5497857aff650001a18c3c,1,1,1,-0.6016630823409707,0.06571525200635289,-0.30715685382712393,0.7143759081688621,0.6924695575650825,-0.5427051655058681,-0.07464430365328466,-0.037635739595453986,-0.8790475327140123,-0.1310172285855247
5d79375d794d900017671c07,1,1,1,-0.7769508319142454,-0.1106977317646291,-0.10949051495281782,-0.4505622536582489,-0.25963552769566606,0.42221332941323836,-0.0949597248031248,-0.1278426122151229,1.7817903845749072,-0.664891389862802
5dcc27974b54778b69e62ec5,1,1,1,-0.9078152829197181,-0.10149357608962135,-0.12818868214363055,-0.5593973068393285,-0.5332289430004788,-0.558394897130569,-0.08982854368867452,-0.030975962045443287,-1.057586320817936,1.0593520376160406
5dce29700ad506063969a4a5,1,1,1,-0.5111027349108331,0.18076719794394985,-0.3044856870855792,-0.3175416331035961,0.013957887609146772,0.6810939012208035,-0.09827916175642326,-0.08135524617007188,0.68442110013631,-1.3238535665203814
5df861926aab7c5f659dfd85,1,1,1,-0.7584402638616188,-0.3607439609356732,-0.5235213598922428,0.25485012807097057,0.360509546995243,-0.4877911048194149,-0.04188378576859348,-0.04951310977142693,-1.4642237514945835,-0.44917772149855395
5e26341c63251a881e185ecf,1,1,1,-0.68468705796253,-0.18279695121885653,-0.3685936888826515,-0.3175416331035961,-0.10277530292090671,-0.22106566719949927,-0.07900965962025998,-0.09459961112826275,-0.22630087054210343,-0.47123460632586234
5e3040a2d1a553000cc9147b,1,1,1,-0.5047742473250474,-0.14137825068132162,0.3499501645928666,-0.5271498836745642,-0.5040456453679655,0.7124733644702054,-0.10022114434241002,-0.07276861174818303,0.5664581692338848,-0.739314885670796
5e49fd714535c4462d04dcd7,1,1,1,-1.0479505036519572,-0.771862914419353,-0.737214699215817,0.10570579593393557,-0.20856475683876766,-0.40149758088355986,-0.09588234373357844,-0.12371744897044137,0.8829544535823136,-0.49247394533896716
5e7a5c9d7567f003b57b85e9,1,1,1,-0.5308624823891738,-0.7396483695568258,-0.7826245338220764,-0.06762410357667265,-0.3581291572053987,0.029970038795715415,-0.08937573653415347,-0.07637305657389447,1.1295388999505904,0.1950964082340553
5e83bb0601aa8c11929fa6d4,1,1,1,-0.9290100381995979,-0.16132058797717178,-0.4113323567473663,-0.4828096768230133,-0.4164957524704254,-0.24460026463655066,-0.07633638621440163,-0.09281838038740721,0.0641446793832477,-0.21511270199033797
5e9f70a9eec34b1108c84413,1,1,1,-0.04564402252695615,0.40320096008997064,-0.18695435045761344,-0.2127375078181121,0.10150778050668688,0.4535927926626402,-0.043071295445022924,-0.056734720309252785,0.41812448681277886,-0.7378991138300692
5edd1133213f7a077ee2709b,1,1,1,-0.9488523760753199,-0.3668800647190117,-0.8093362012375231,0.30725219071371257,0.3240304249546013,-0.558394897130569,-0.08803971539069991,-0.024688162793182925,-1.039426521999658,1.0507131204802387
5eebc46343ee1b16159a1c8e,1,1,1,-0.9958772715061972,-0.5954499306483709,-0.5422195270830554,-0.47071689313622667,-0.4201436646744896,-0.5427051655058681,-0.09229130260856493,-0.0716824320176765,-0.6659867904175051,0.9324908750474429
5f201aabcbe8bf04a0ae4a1f,1,0,1,-1.2184273638109702,-0.5969839565942056,-0.8574172025853274,-0.1643663730709656,-0.21221266904283184,-0.32304892276005526,-0.06453912572676611,-0.07704365669185347,-0.5518762802399207,0.02337508623641734
5f29d9582a2fc9166092ebe5,1,1,1,-0.6870202360788183,-0.5862457749733632,-0.6303680295540298,-0.2449849309828764,-0.28881882532817943,-0.22106566719949927,-0.09157938873699319,-0.12004988336638982,1.2915716389423566,-0.32949826632877743
5f42eec40c24ac531d4ca24a,1,1,1,-0.9166731007619225,-0.2042733144605413,-0.4834538587690726,-0.28932513783442737,-0.27422717651192274,-0.5348602996935177,-0.07924117632304378,-0.0945672066353396,-0.7911531705089352,-0.08617839955806825
5f49806859401418f7ec6764,1,1,1,-0.5384195018066082,1.8773998940370462,1.4745113627831758,-0.15227358938417898,-0.066296180880265,2.5638616961849134,-0.10141946208546097,-0.11963459714709772,0.7744496495014798,-1.171838063444396
6026d1eca0c0d1400dcfbbd6,1,1,1,-0.637837667092047,-0.936003690623658,-0.7345435324742722,-0.5392426673613508,-0.5368768552045431,-0.57408462875527,-0.1315540032929781,,,-2.5121803400440763
60493e65aba91587246602a2,1,1,1,-0.5350952391667009,-0.5877798009191978,-0.5903005284308597,-0.3699436957463381,-0.24869179108347356,-0.5348602996935177,-0.05896085572618402,-0.008828656274853419,0.25764259006408446,0.8990047564196588
607dc33d82a84f39fad3a86b,1,1,1,-0.8039269135244026,-0.5923818787567017,-0.7105030318003701,-0.18049008465334776,-0.07723991749245751,-0.11908241163894331,-0.06212603118554573,-0.04980783708663035,0.28749422668791186,-0.03420785944817647
60ad06d89fffbb9b853454be,1,1,1,-0.657576766977565,-0.5709055155150169,-0.5235213598922428,-0.4828096768230133,-0.4420311378988746,-0.558394897130569,-0.09852308119315031,-0.05976738055779895,-1.0518399928870503,1.8857288837493555
60b7c559803665ec56ca8b2c,1,1,1,-0.8943633754051159,-0.820951744686061,-0.8253632016867912,-0.4142839025978891,-0.4091999280622971,-0.5662397629429194,-0.07526831351584985,0.1356960940588767,,2.8180136488967165
60c2fa3c3cdfb91887edd7ce,1,1,1,-0.7873056003248726,0.27434278063986206,-0.41934585697200033,0.05330373329119355,0.2547200930773821,-0.32304892276005526,-0.07571079322176245,-0.08357278588301113,-0.04068489644376955,0.03864695168153214
60d3c657c0c29336f3a3c52d,1,1,1,-0.9109330696195672,0.7161422530402344,0.1309144917862031,0.02508723802202477,0.5429051571984516,0.4771273900996916,-0.0695301961536433,-0.11908511717068807,0.4262080638884043,-1.069922680493151
60dfa0f80964725cfdab1685,1,1,1,-0.3739097963195982,-0.6184603198358903,-0.563588861015413,-0.3981601910155069,-0.4821581721435805,-0.57408462875527,-0.029465989469177774,,,-2.5121803400440763
60dfdb8bbef17b6739d12215,1,1,1,-0.7480854954546418,0.48603836116504046,-0.331197354501026,0.5612006481362316,0.7763715382585585,1.269458837147088,-0.10479085479319362,-0.13899680125548833,1.4485040698768228,-1.299318973146444
60e36d56350e661cf50f2c7e,1,1,1,-0.66597001396818,0.5581375806192679,0.8868546796433466,-0.5069952441965865,-0.48945399655170885,0.673249035408453,-0.09212750003102893,-0.1394257211695972,1.9197497316921306,-1.0850784464294994
60e498712f548b22f3ec7c65,1,1,1,-0.8303764811703558,-0.6890255133442832,-0.7425570326989063,-0.41025297470229355,-0.3581291572053987,-0.4328770441329617,-0.07553762336997552,-0.1104590999309757,-1.5004074883559797,0.17209460579909988
60f8adb9a315f316c3aee425,1,1,1,-0.18281631351001695,0.6900638119610457,-0.4887961922521619,1.548777982557139,1.6299829940095745,-0.5662397629429194,-0.08993254534016581,-0.05550310736862555,,2.818013648896715
