Participant,Paragraph,Gazes,AOIGazes,OffScreenGazesPix,OffScreenGazesProp,cluster_num_clusters,cluster_avg_duration,cluster_sd_duration,cluster_skew_duration,dispersion
5bd7971b0aac450001f951aa,35,262,25,73,86,20,0.0831200000334109,0.0273221444857914,2.0638703957306084,0.3948369077908778
5bd7971b0aac450001f951aa,36,311,26,90,131,23,0.0817130434782948,0.0268804136689454,0.6433060060079451,0.4930335093320129
5bd7971b0aac450001f951aa,37,25,1,23,23,2,0.0422999999523198,0.059821233620952,,1.0
5bd7971b0aac450001f951aa,38,791,137,302,369,65,0.0827215384519966,0.0152987386225519,5.522999534109586,0.2407568588066059
5bd7971b0aac450001f951aa,39,237,17,94,117,23,0.0724217391200617,0.0235580319525308,-2.8072576366451325,0.3669712175339474
5bd7971b0aac450001f951aa,40,417,24,161,205,44,0.0846295454805342,0.015404779964572,3.1569311560868187,0.38229806966793
5c6477fe4f0ea90001782441,1,476,114,53,86,19,0.0322631578988101,0.0121498152956283,0.2076267336034653,0.4277921949160784
5c6477fe4f0ea90001782441,2,674,465,15,29,24,0.0353874999995024,0.0150758462842287,0.5680653311459821,0.3138752110825816
5c6477fe4f0ea90001782441,3,690,374,6,15,30,0.0299233333283584,0.0066002969258118,-3.5540242620707154,0.3475039488581223
5c6477fe4f0ea90001782441,4,843,523,40,73,28,0.0359607142889062,0.0110008194716697,1.4589477837414009,0.4374031920190507
5c6477fe4f0ea90001782441,5,206,16,7,7,11,0.0304454545514202,0.0131584469906355,-0.3638620281758704,0.3054603052566088
5c6477fe4f0ea90001782441,6,499,161,24,46,22,0.0314863636379901,0.010580363455935,0.1385048482183671,0.4479356715234653
5c6477fe4f0ea90001782441,7,503,211,12,25,29,0.034665517244049,0.0086888794189215,2.009252867125888,0.2968402918265754
5c6477fe4f0ea90001782441,8,165,29,20,20,10,0.0276200000005984,0.0167921807208479,-0.4701970339093038,0.4782721879508941
5c6477fe4f0ea90001782441,9,798,348,26,38,35,0.0308828571425133,0.0046355078233467,0.6845980292404379,0.4257754222839057
5c6477fe4f0ea90001782441,10,329,102,4,29,21,0.0358000000005653,0.0169044372858439,0.9625864759864604,0.5596984487201891
5c6477fe4f0ea90001782441,11,385,89,40,92,15,0.0286066666658688,0.0085782504581535,-2.943212932346963,0.4288143121412355
5c6477fe4f0ea90001782441,12,354,127,14,23,17,0.031264705885147,0.0073105182072303,1.8139830619903812,0.3964096365389886
5c6477fe4f0ea90001782441,13,857,506,32,70,33,0.034496969702565,0.0127742535219706,0.972788320859476,0.3977518985394038
