Participant,Paragraph,cluster_num_clusters,cluster_avg_duration,cluster_sd_duration,cluster_skew_duration,dispersion
559cb12dfdf99b4989fb18ed,1,1,0.0,,,0.0
559cb12dfdf99b4989fb18ed,2,5,0.13710000000029737,0.08090077255641433,-0.3921577852393315,0.48534141221975796
559cb12dfdf99b4989fb18ed,3,4,0.07909999999962736,0.09585050860488041,0.4553582461161567,0.8994546038449951
559cb12dfdf99b4989fb18ed,4,7,0.19259999999893518,0.07198335455641784,0.41218382877672605,0.4398005188689013
559cb12dfdf99b4989fb18ed,5,1,0.0,,,0.0
559cb12dfdf99b4989fb18ed,6,2,0.0236,0.03337544007200504,,1.0
559cb12dfdf99b4989fb18ed,7,2,0.05525000000037185,0.0077074639144075,,1.0
559cb12dfdf99b4989fb18ed,8,2,0.03420000000110679,0.04836610383472509,,1.0
559cb12dfdf99b4989fb18ed,9,4,0.11315000000131192,0.0952159125358208,-0.43072465730900783,0.5733021074711299
559cb12dfdf99b4989fb18ed,10,1,0.0,,,0.0
559cb12dfdf99b4989fb18ed,11,3,0.13079999999826222,0.05702131180503805,-1.6282148337258133,0.6825400173966238
559cb12dfdf99b4989fb18ed,12,2,0.0,0.0,,1.0
559cb12dfdf99b4989fb18ed,13,4,0.11537500000017954,0.033321802171754414,-0.6766229091716721,0.507088705567284
559cb12dfdf99b4989fb18ed,14,2,0.0,0.0,,1.0
559cb12dfdf99b4989fb18ed,15,1,0.050499999999999996,,,0.0
559cb12dfdf99b4989fb18ed,16,1,0.1116999999992454,,,0.0
559cb12dfdf99b4989fb18ed,17,2,0.023149999998508974,0.03273904396682852,,0.9999999999999999
559cb12dfdf99b4989fb18ed,18,3,0.07879999999977046,0.1002962112939399,1.353111137733841,0.6717873937086627
559cb12dfdf99b4989fb18ed,19,3,0.06996666666766387,0.06526533025554565,-0.7200404055952669,0.7147878832916156
559cb12dfdf99b4989fb18ed,20,2,0.07480000000075115,0.1057831744665698,,0.9999999999999999
559cb12dfdf99b4989fb18ed,21,2,0.12309999999968024,0.06335676759272126,,1.0
559cb12dfdf99b4989fb18ed,22,4,0.08542499999984443,0.09864645203941118,0.0006487361602718239,0.5160908398247496
559cb12dfdf99b4989fb18ed,23,2,0.06505000000039846,0.019445436483193544,,1.0
559cb12dfdf99b4989fb18ed,24,7,0.1273428571426425,0.08780910843315216,0.08397836037757483,0.5506947084817518
559cb12dfdf99b4989fb18ed,25,5,0.12006000000012591,0.08846958799510941,-0.7154140637511559,0.6078907203772443
559cb12dfdf99b4989fb18ed,26,2,0.11009999999964726,0.15570491321677893,,1.0
559cb12dfdf99b4989fb18ed,27,1,0.046500000000036845,,,0.0
559cb12dfdf99b4989fb18ed,28,2,0.0,0.0,,1.0
559cb12dfdf99b4989fb18ed,29,3,0.10066666666689957,0.057323409994396717,1.718398245953267,0.6926717303616379
559cb12dfdf99b4989fb18ed,30,2,0.08815000000032569,0.12466292552364892,,0.9999999999999998
559cb12dfdf99b4989fb18ed,31,2,0.13724999999999546,0.127208509934396,,1.0
559cb12dfdf99b4989fb18ed,32,2,0.03534999999959609,0.0499924494293177,,1.0
559cb12dfdf99b4989fb18ed,33,3,0.07356666666642771,0.07791381991194488,0.46090534256956295,0.694790259711028
559cb12dfdf99b4989fb18ed,34,3,0.04063333333283481,0.07037899781335191,1.7320508075688774,0.7244541405262253
559cb12dfdf99b4989fb18ed,35,3,0.057466666666698196,0.06072769823844259,0.4450613021819208,0.7082510137830695
559cb12dfdf99b4989fb18ed,36,1,0.064,,,0.0
559cb12dfdf99b4989fb18ed,37,2,0.13535000000143782,0.08704484476512474,,0.9999999999999998
559cb12dfdf99b4989fb18ed,38,2,0.030650000001479327,0.04334564568882745,,0.9999999999999998
559cb12dfdf99b4989fb18ed,39,2,0.03269999999929496,0.04624478348860313,,1.0
559cb12dfdf99b4989fb18ed,40,2,0.114750000000015,0.16228100628233388,,1.0
559e6830fdf99b4f0b98514a,1,80,0.04091750001435755,0.019325701222294774,1.4764331533730215,0.41663842246464483
559e6830fdf99b4f0b98514a,2,136,0.0385882352969577,0.016868388390875972,1.387903027348166,0.39537842569640613
559e6830fdf99b4f0b98514a,3,98,0.04063877552769481,0.021062805617864586,2.1853723990278593,0.40857438732852597
559e6830fdf99b4f0b98514a,4,112,0.04167946430105245,0.019184744956900587,1.2204604386419564,0.31374266356837494
559e6830fdf99b4f0b98514a,5,42,0.04070476189795914,0.02091991643794557,1.7354605350369319,0.5533985883555006
559e6830fdf99b4f0b98514a,6,65,0.03996615384172092,0.01837554657158203,1.3088507353075185,0.3556816604445624
559e6830fdf99b4f0b98514a,7,64,0.03999843749404215,0.02015914847819307,1.308475466931396,0.35955381634093475
559e6830fdf99b4f0b98514a,8,14,0.034742857146257654,0.014758711322094038,1.7392326397647633,0.4545313705179862
559e6830fdf99b4f0b98514a,9,74,0.04050675676130115,0.022997166790780198,1.6630322711674161,0.4368399390445512
559e6830fdf99b4f0b98514a,10,22,0.036781818179554684,0.01714089056075447,1.7823780464673866,0.4867242312890322
559e6830fdf99b4f0b98514a,11,51,0.036090196071891234,0.014661831460204203,2.5915345916428913,0.40827727574626793
559e6830fdf99b4f0b98514a,12,62,0.04184354837400937,0.021037621422349436,1.310090239852004,0.4171150594069687
559e6830fdf99b4f0b98514a,13,139,0.0375791366824078,0.01705020495469021,1.9613099944033678,0.38893543064039104
559e6830fdf99b4f0b98514a,14,64,0.03867187500438859,0.01957180080982671,1.6924130247856135,0.47978255930873137
559e6830fdf99b4f0b98514a,15,54,0.04028703703001174,0.020421954938928358,1.329968478773055,0.3532694697223822
559e6830fdf99b4f0b98514a,16,11,0.04817272730306288,0.024768330217664176,0.9411308853121783,0.4303806650849819
559e6830fdf99b4f0b98514a,17,11,0.036590909043200566,0.02655848090086149,0.4407680639292359,0.5892454030096624
559e6830fdf99b4f0b98514a,18,43,0.040651162810644736,0.019215214363848755,1.3606810792695596,0.4934676632586285
559e6830fdf99b4f0b98514a,19,27,0.0384999999841351,0.01956327012328352,2.1409221044271365,0.4701848629234348
559e6830fdf99b4f0b98514a,20,145,0.03895310344924356,0.017698509247556716,1.5320082325735505,0.3925564022417308
559e6830fdf99b4f0b98514a,21,71,0.0388450704326143,0.018533512423479837,1.9287112922057947,0.37397344328718773
559e6830fdf99b4f0b98514a,22,67,0.040895522359553925,0.02109573010473875,1.3655434160729811,0.40913613820047495
559e6830fdf99b4f0b98514a,23,8,0.03352499998806907,0.02847604262797673,1.8834191977176333,0.532786367174843
559e6830fdf99b4f0b98514a,24,74,0.03860675674586251,0.017173484907643838,1.5982618730193712,0.442832627054198
559e6830fdf99b4f0b98514a,25,69,0.04252898549895546,0.022700505958120707,1.388845354811891,0.43188366171620246
559e6830fdf99b4f0b98514a,26,151,0.03780132450806779,0.018473649655566173,2.087391261865696,0.39256495926807944
559e6830fdf99b4f0b98514a,27,26,0.035519230754556874,0.01735735050088308,1.691146612499153,0.4326154425596932
559e6830fdf99b4f0b98514a,28,60,0.040610000001609116,0.020135959054019048,1.5595697141042797,0.3784561987787958
559e6830fdf99b4f0b98514a,29,111,0.0389243243183201,0.01871437084241848,1.389700559568781,0.41306891007656416
559e6830fdf99b4f0b98514a,30,110,0.037124545460152335,0.017270859935486375,2.408169221650228,0.3930000887389245
559e6830fdf99b4f0b98514a,31,57,0.040896491223110995,0.019104664368254327,1.1956803607512927,0.33199121534708015
559e6830fdf99b4f0b98514a,32,87,0.03928850574656326,0.019133359555241623,1.8072941387929293,0.40418551101812084
559e6830fdf99b4f0b98514a,33,41,0.038080487804901836,0.020071213467173443,1.089809981056766,0.32181297334040854
559e6830fdf99b4f0b98514a,34,89,0.03757078651630566,0.018959245769962395,1.973729845965769,0.4340080559381142
559e6830fdf99b4f0b98514a,35,72,0.035336111105799595,0.014863124847507438,1.9895915471963828,0.3991490601228077
559e6830fdf99b4f0b98514a,36,87,0.03480344828683837,0.013206177638251621,2.7582324445700226,0.4497341440763407
