Participant,Paragraph,Gazes,AOIGazes,OffScreenGazesPix,OffScreenGazesProp
5b07b71c68eff50001d1c859,4,293,0,274,276
5b07b71c68eff50001d1c859,5,58,5,44,45
5b07b71c68eff50001d1c859,6,275,124,30,50
5b07b71c68eff50001d1c859,7,216,13,165,165
5b07b71c68eff50001d1c859,8,62,1,49,50
5b07b71c68eff50001d1c859,9,246,7,191,193
5b07b71c68eff50001d1c859,10,92,3,69,69
5b07b71c68eff50001d1c859,11,216,32,85,112
5b07b71c68eff50001d1c859,12,134,24,22,30
5b07b71c68eff50001d1c859,13,420,166,109,138
5b07b71c68eff50001d1c859,14,132,75,11,23
5b07b71c68eff50001d1c859,15,126,52,10,19
5b07b71c68eff50001d1c859,16,64,4,51,52
5b07b71c68eff50001d1c859,17,31,4,21,21
5b07b71c68eff50001d1c859,18,187,22,55,66
5b07b71c68eff50001d1c859,19,85,28,3,6
5b07b71c68eff50001d1c859,20,287,168,6,40
5b07b71c68eff50001d1c859,21,244,2,187,190
5b07b71c68eff50001d1c859,22,296,5,236,236
5b07b71c68eff50001d1c859,23,38,0,18,22
5b07b71c68eff50001d1c859,24,223,25,74,132
5b07b71c68eff50001d1c859,25,157,69,20,39
5b07b71c68eff50001d1c859,26,274,49,161,187
5b07b71c68eff50001d1c859,27,94,1,66,77
5b07b71c68eff50001d1c859,28,151,53,11,23
5b07b71c68eff50001d1c859,29,238,53,64,113
5b07b71c68eff50001d1c859,30,242,44,58,93
5b07b71c68eff50001d1c859,31,193,22,122,130
5b07b71c68eff50001d1c859,32,177,68,13,22
5b07b71c68eff50001d1c859,33,110,29,6,6
5b07b71c68eff50001d1c859,34,258,135,20,28
5b07b71c68eff50001d1c859,35,244,41,93,99
5b07b71c68eff50001d1c859,36,170,27,58,79
5b07b71c68eff50001d1c859,37,348,118,133,182
5b07b71c68eff50001d1c859,38,355,25,233,235
5b07b71c68eff50001d1c859,39,46,9,7,14
5b07b71c68eff50001d1c859,40,254,101,53,68
5bd7971b0aac450001f951aa,1,621,187,32,74
5bd7971b0aac450001f951aa,2,611,189,120,203
5bd7971b0aac450001f951aa,3,361,73,122,204
5bd7971b0aac450001f951aa,4,528,85,222,333
5bd7971b0aac450001f951aa,5,112,13,55,60
5bd7971b0aac450001f951aa,6,322,114,21,54
5bd7971b0aac450001f951aa,7,309,73,40,61
5bd7971b0aac450001f951aa,8,116,5,17,31
5bd7971b0aac450001f951aa,9,327,41,60,89
5bd7971b0aac450001f951aa,10,138,20,12,37
5bd7971b0aac450001f951aa,11,274,16,97,114
5bd7971b0aac450001f951aa,12,295,9,127,150
5bd7971b0aac450001f951aa,13,800,46,350,459
5bd7971b0aac450001f951aa,14,227,6,79,101
5bd7971b0aac450001f951aa,15,225,2,96,147
5bd7971b0aac450001f951aa,16,102,7,34,42
5bd7971b0aac450001f951aa,17,94,11,3,12
5bd7971b0aac450001f951aa,18,165,25,26,36
5bd7971b0aac450001f951aa,19,127,27,9,24
5bd7971b0aac450001f951aa,20,480,248,48,91
5bd7971b0aac450001f951aa,21,455,115,105,134
5bd7971b0aac450001f951aa,22,554,143,36,91
5bd7971b0aac450001f951aa,23,44,5,4,6
5bd7971b0aac450001f951aa,24,393,99,83,136
5bd7971b0aac450001f951aa,25,288,28,114,165
5bd7971b0aac450001f951aa,26,369,70,136,188
5bd7971b0aac450001f951aa,27,190,17,83,109
5bd7971b0aac450001f951aa,28,279,25,129,180
5bd7971b0aac450001f951aa,29,565,32,292,373
5bd7971b0aac450001f951aa,30,546,24,414,478
5bd7971b0aac450001f951aa,31,357,35,190,238
5bd7971b0aac450001f951aa,32,322,52,94,126
5bd7971b0aac450001f951aa,33,181,16,26,47
5bd7971b0aac450001f951aa,34,364,49,117,147
5bd7971b0aac450001f951aa,35,262,25,73,86
5bd7971b0aac450001f951aa,36,311,26,90,131
5bd7971b0aac450001f951aa,37,25,1,23,23
5bd7971b0aac450001f951aa,38,791,137,302,369
