Participant,Number,RT,Correct
5dcc27974b54778b69e62ec5,3,5.294999999999959,0
5dcc27974b54778b69e62ec5,4,8.664499999999975,1
5dcc27974b54778b69e62ec5,5,11.231399999998416,1
5dcc27974b54778b69e62ec5,6,8.296199999995565,0
5dcc27974b54778b69e62ec5,7,19.930999999999926,1
5dcc27974b54778b69e62ec5,8,4.4346,1
5dcc27974b54778b69e62ec5,9,14.70799999999997,1
5dcc27974b54778b69e62ec5,10,5.363799999997013,1
5dce29700ad506063969a4a5,1,6.905399999856968,1
5dce29700ad506063969a4a5,2,7.7438,0
5dce29700ad506063969a4a5,3,5.760799999952383,0
5dce29700ad506063969a4a5,4,7.450099999904637,1
5dce29700ad506063969a4a5,5,15.61099999999999,1
5dce29700ad506063969a4a5,6,10.45529999995233,1
5dce29700ad506063969a4a5,7,13.643599999904723,1
5dce29700ad506063969a4a5,8,12.88710000014305,1
5dce29700ad506063969a4a5,9,8.235899999856997,1
5dce29700ad506063969a4a5,10,7.322899999856986,1
5df861926aab7c5f659dfd85,1,4.509599999999637,1
5df861926aab7c5f659dfd85,2,10.420499999999947,1
5df861926aab7c5f659dfd85,3,4.807199999999057,1
5df861926aab7c5f659dfd85,4,25.713199999999233,0
5df861926aab7c5f659dfd85,5,11.40379999999891,1
5df861926aab7c5f659dfd85,6,9.618999999999915,1
5df861926aab7c5f659dfd85,7,34.19100000000003,1
5df861926aab7c5f659dfd85,8,7.430400000000418,1
5df861926aab7c5f659dfd85,9,25.18830000000071,0
5df861926aab7c5f659dfd85,10,8.797500000000127,1
5e26341c63251a881e185ecf,1,5.223999999999933,1
5e26341c63251a881e185ecf,2,3.788599999994176,1
5e26341c63251a881e185ecf,3,2.994999999999891,1
5e26341c63251a881e185ecf,4,11.181499999999915,1
5e26341c63251a881e185ecf,5,11.631599999994023,1
5e26341c63251a881e185ecf,6,6.597999999999956,1
5e26341c63251a881e185ecf,7,14.039999999999964,1
5e26341c63251a881e185ecf,8,5.651300000011815,1
5e26341c63251a881e185ecf,9,15.246599999994032,1
5e26341c63251a881e185ecf,10,7.923299999982191,1
5e3040a2d1a553000cc9147b,1,6.966699999988123,1
5e3040a2d1a553000cc9147b,2,6.623000000000047,0
5e3040a2d1a553000cc9147b,3,3.3674000000357864,1
5e3040a2d1a553000cc9147b,4,7.760999999999967,1
5e3040a2d1a553000cc9147b,5,9.9662,1
5e3040a2d1a553000cc9147b,6,11.598699999988185,1
5e3040a2d1a553000cc9147b,7,13.431600000023764,1
5e3040a2d1a553000cc9147b,8,5.597200000047678,1
5e3040a2d1a553000cc9147b,9,10.726600000023836,1
5e3040a2d1a553000cc9147b,10,7.249200000047722,1
5e49fd714535c4462d04dcd7,1,1.7052999999523308,1
5e49fd714535c4462d04dcd7,2,2.7497000000475964,0
5e49fd714535c4462d04dcd7,3,2.2776000000237673,1
5e49fd714535c4462d04dcd7,4,4.474000000000046,0
5e49fd714535c4462d04dcd7,5,4.244500000000016,0
5e49fd714535c4462d04dcd7,6,3.6129999999999427,1
5e49fd714535c4462d04dcd7,7,10.535299999952372,1
5e49fd714535c4462d04dcd7,8,7.165000000000077,1
5e49fd714535c4462d04dcd7,9,7.069699999928503,1
5e49fd714535c4462d04dcd7,10,4.466000000000008,1
5e7a5c9d7567f003b57b85e9,1,6.7140000000000555,1
5e7a5c9d7567f003b57b85e9,2,6.346399999976143,0
5e7a5c9d7567f003b57b85e9,3,8.761700000017981,1
5e7a5c9d7567f003b57b85e9,4,10.244000000000028,0
5e7a5c9d7567f003b57b85e9,5,19.026699999988068,0
5e7a5c9d7567f003b57b85e9,6,11.692699999988008,0
5e7a5c9d7567f003b57b85e9,7,12.383700000017939,0
5e7a5c9d7567f003b57b85e9,8,12.378900000005956,0
5e7a5c9d7567f003b57b85e9,9,14.59690000000603,0
5e7a5c9d7567f003b57b85e9,10,9.243300000012027,1
5e83bb0601aa8c11929fa6d4,1,2.8573999999911166,1
5e83bb0601aa8c11929fa6d4,2,4.918599999994058,1
5e83bb0601aa8c11929fa6d4,3,2.918399999991152,1
5e83bb0601aa8c11929fa6d4,4,5.032500000000027,1
5e83bb0601aa8c11929fa6d4,5,7.214700000002949,1
5e83bb0601aa8c11929fa6d4,6,5.312299999996981,1
5e83bb0601aa8c11929fa6d4,7,25.50999999999999,1
5e83bb0601aa8c11929fa6d4,8,7.662599999994086,0
5e83bb0601aa8c11929fa6d4,9,9.121599999994032,0
5e83bb0601aa8c11929fa6d4,10,9.0439,1
5e9f70a9eec34b1108c84413,1,11.413999999999987,1
5e9f70a9eec34b1108c84413,2,12.734799999952202,1
5e9f70a9eec34b1108c84413,3,6.492199999928516,1
5e9f70a9eec34b1108c84413,4,10.992999999999938,1
5e9f70a9eec34b1108c84413,5,19.823499999999967,1
5e9f70a9eec34b1108c84413,6,28.060300000071493,0
5e9f70a9eec34b1108c84413,7,20.70260000002395,1
5e9f70a9eec34b1108c84413,8,7.9923999999762145,1
5e9f70a9eec34b1108c84413,9,13.185700000047746,1
5e9f70a9eec34b1108c84413,10,10.353799999952344,1
5edd1133213f7a077ee2709b,1,2.665199999928518,1
5edd1133213f7a077ee2709b,2,4.830099999904633,1
5edd1133213f7a077ee2709b,3,21.46770000004767,0
5edd1133213f7a077ee2709b,4,18.325199999928486,1
5edd1133213f7a077ee2709b,5,8.235200000047712,1
5edd1133213f7a077ee2709b,6,4.547299999952315,1
5edd1133213f7a077ee2709b,7,50.038,1
5edd1133213f7a077ee2709b,8,4.479100000023777,0
5edd1133213f7a077ee2709b,9,5.016700000047649,1
5edd1133213f7a077ee2709b,10,10.929499999999962,1
5eebc46343ee1b16159a1c8e,1,2.2096999998092315,1
5eebc46343ee1b16159a1c8e,2,6.763600000143015,1
5eebc46343ee1b16159a1c8e,3,2.117700000047762,1
5eebc46343ee1b16159a1c8e,4,12.120599999904584,1
5eebc46343ee1b16159a1c8e,5,11.578799999952253,1
5eebc46343ee1b16159a1c8e,6,4.621499999999969,1
5eebc46343ee1b16159a1c8e,7,15.335599999904616,1
5eebc46343ee1b16159a1c8e,8,2.884899999856998,1
5eebc46343ee1b16159a1c8e,9,12.667399999857025,1
5eebc46343ee1b16159a1c8e,10,3.9587,1
5f201aabcbe8bf04a0ae4a1f,1,0.054000000000002046,0
5f201aabcbe8bf04a0ae4a1f,2,0.28299999999998704,1
5f201aabcbe8bf04a0ae4a1f,3,0.12700000000000955,1
5f201aabcbe8bf04a0ae4a1f,4,0.24600000000000932,1
5f201aabcbe8bf04a0ae4a1f,5,0.11800000000002342,0
5f201aabcbe8bf04a0ae4a1f,6,0.16800000000000637,1
5f201aabcbe8bf04a0ae4a1f,7,0.1150000000000091,0
5f201aabcbe8bf04a0ae4a1f,8,0.14200000000002433,1
5f201aabcbe8bf04a0ae4a1f,9,1.320999999999998,1
5f201aabcbe8bf04a0ae4a1f,10,0.10999999999998522,0
5f29d9582a2fc9166092ebe5,1,5.201400000095418,1
5f29d9582a2fc9166092ebe5,2,6.2150000000001455,0
5f29d9582a2fc9166092ebe5,3,4.2020999999047035,1
5f29d9582a2fc9166092ebe5,4,6.489299999952209,1
5f29d9582a2fc9166092ebe5,5,11.72739999985697,1
5f29d9582a2fc9166092ebe5,6,11.257800000190628,1
5f29d9582a2fc9166092ebe5,7,23.6402,1
5f29d9582a2fc9166092ebe5,8,9.5137,0
5f29d9582a2fc9166092ebe5,9,10.150899999856847,1
5f29d9582a2fc9166092ebe5,10,4.719900000095322,0
5f42eec40c24ac531d4ca24a,1,2.976899999998409,1
5f42eec40c24ac531d4ca24a,2,3.1432000000030484,1
5f42eec40c24ac531d4ca24a,3,2.415699999995468,1
5f42eec40c24ac531d4ca24a,4,9.035800000004429,1
5f42eec40c24ac531d4ca24a,5,5.8068999999985635,1
5f42eec40c24ac531d4ca24a,6,8.847100000001433,1
5f42eec40c24ac531d4ca24a,7,13.518500000000017,1
5f42eec40c24ac531d4ca24a,8,6.603700000003073,1
5f42eec40c24ac531d4ca24a,9,11.368399999998474,1
5f42eec40c24ac531d4ca24a,10,7.563899999998512,1
5f49806859401418f7ec6764,1,6.6408,1
5f49806859401418f7ec6764,2,6.4954000000357155,1
5f49806859401418f7ec6764,3,5.208599999964235,1
5f49806859401418f7ec6764,4,11.189499999999953,1
5f49806859401418f7ec6764,5,12.184299999952373,1
5f49806859401418f7ec6764,6,16.643300000012005,1
5f49806859401418f7ec6764,7,18.011999999999944,1
5f49806859401418f7ec6764,8,4.615800000011859,1
5f49806859401418f7ec6764,9,16.34050000000002,0
5f49806859401418f7ec6764,10,5.980199999987917,1
6026d1eca0c0d1400dcfbbd6,1,5.677800000011871,1
6026d1eca0c0d1400dcfbbd6,2,9.2167,0
6026d1eca0c0d1400dcfbbd6,3,6.974100000008889,0
6026d1eca0c0d1400dcfbbd6,4,10.638199999988046,1
6026d1eca0c0d1400dcfbbd6,5,20.701600000008966,1
6026d1eca0c0d1400dcfbbd6,6,16.361499999999978,0
6026d1eca0c0d1400dcfbbd6,7,14.830700000002935,1
6026d1eca0c0d1400dcfbbd6,8,5.799299999997061,1
6026d1eca0c0d1400dcfbbd6,9,5.050299999996923,0
6026d1eca0c0d1400dcfbbd6,10,6.2068999999910375,1
60493e65aba91587246602a2,1,6.673000000000002,1
60493e65aba91587246602a2,2,4.321000000000026,1
60493e65aba91587246602a2,3,9.009999999999991,0
60493e65aba91587246602a2,4,7.196000000000026,1
60493e65aba91587246602a2,5,10.62600000000009,1
60493e65aba91587246602a2,6,13.865000000000009,0
60493e65aba91587246602a2,7,16.799999999999955,1
60493e65aba91587246602a2,8,5.633000000000038,1
60493e65aba91587246602a2,9,18.680999999999926,0
60493e65aba91587246602a2,10,7.532000000000039,1
607dc33d82a84f39fad3a86b,1,4.069000000000074,1
607dc33d82a84f39fad3a86b,2,7.314700000002972,0
607dc33d82a84f39fad3a86b,3,4.791899999998577,1
607dc33d82a84f39fad3a86b,4,11.346699999995622,1
607dc33d82a84f39fad3a86b,5,12.989199999995549,1
607dc33d82a84f39fad3a86b,6,14.02689999999859,0
607dc33d82a84f39fad3a86b,7,16.997799999997028,1
607dc33d82a84f39fad3a86b,8,3.5326999999955433,1
607dc33d82a84f39fad3a86b,9,16.174600000001533,0
607dc33d82a84f39fad3a86b,10,5.939100000001531,1
60ad06d89fffbb9b853454be,1,5.4866000001431985,1
60ad06d89fffbb9b853454be,2,14.458600000143178,0
60ad06d89fffbb9b853454be,3,19.558299999952396,0
60ad06d89fffbb9b853454be,4,8.8761,1
60ad06d89fffbb9b853454be,5,13.279600000143091,1
60ad06d89fffbb9b853454be,6,13.685700000047746,0
60ad06d89fffbb9b853454be,7,21.853900000095337,1
60ad06d89fffbb9b853454be,8,11.327400000095281,1
60ad06d89fffbb9b853454be,9,9.336200000047711,1
60ad06d89fffbb9b853454be,10,10.590700000047718,1
60b7c559803665ec56ca8b2c,1,3.1929999999999836,1
60b7c559803665ec56ca8b2c,2,5.694600000001458,0
60b7c559803665ec56ca8b2c,3,4.1065,0
60b7c559803665ec56ca8b2c,4,6.106999999999971,1
60b7c559803665ec56ca8b2c,5,11.15380000000448,0
60b7c559803665ec56ca8b2c,6,8.984100000001547,0
60b7c559803665ec56ca8b2c,7,10.838800000004426,1
60b7c559803665ec56ca8b2c,8,5.281000000000006,1
60b7c559803665ec56ca8b2c,9,7.462400000005914,1
60b7c559803665ec56ca8b2c,10,7.660500000000013,1
60c2fa3c3cdfb91887edd7ce,1,4.230000000000018,1
60c2fa3c3cdfb91887edd7ce,2,5.5427000000477165,0
60c2fa3c3cdfb91887edd7ce,3,22.03439999985676,0
60c2fa3c3cdfb91887edd7ce,4,9.446100000142906,1
60c2fa3c3cdfb91887edd7ce,5,13.746500000000196,1
60c2fa3c3cdfb91887edd7ce,6,10.799799999952256,1
60c2fa3c3cdfb91887edd7ce,7,21.671700000047622,1
60c2fa3c3cdfb91887edd7ce,8,9.485500000000002,1
60c2fa3c3cdfb91887edd7ce,9,9.829899999856934,1
60c2fa3c3cdfb91887edd7ce,10,9.231700000047795,1
60d3c657c0c29336f3a3c52d,1,3.0324999999999136,1
60d3c657c0c29336f3a3c52d,2,6.265700000047673,1
60d3c657c0c29336f3a3c52d,3,4.345899999857011,1
60d3c657c0c29336f3a3c52d,4,8.469499999999925,1
60d3c657c0c29336f3a3c52d,5,19.670899999856942,1
60d3c657c0c29336f3a3c52d,6,8.269600000142987,1
60d3c657c0c29336f3a3c52d,7,17.51590000009537,1
60d3c657c0c29336f3a3c52d,8,18.524299999952405,0
60d3c657c0c29336f3a3c52d,9,18.936500000000024,1
60d3c657c0c29336f3a3c52d,10,6.951000000000022,1
60dfa0f80964725cfdab1685,1,8.234299999996892,1
60dfa0f80964725cfdab1685,2,4.327099999994061,1
60dfa0f80964725cfdab1685,3,20.167700000002924,1
60dfa0f80964725cfdab1685,4,15.813799999996945,1
60dfa0f80964725cfdab1685,5,13.02230000001191,1
60dfa0f80964725cfdab1685,6,14.522200000003068,1
60dfa0f80964725cfdab1685,7,21.428099999994174,1
60dfa0f80964725cfdab1685,8,10.394799999996849,1
60dfa0f80964725cfdab1685,9,11.863200000002962,1
60dfa0f80964725cfdab1685,10,15.321500000000015,1
60dfdb8bbef17b6739d12215,1,4.6098999999761645,1
60dfdb8bbef17b6739d12215,2,4.408899999976256,0
60dfdb8bbef17b6739d12215,3,8.895400000035693,0
60dfdb8bbef17b6739d12215,4,8.273199999988037,0
60dfdb8bbef17b6739d12215,5,7.634500000000003,1
60dfdb8bbef17b6739d12215,6,7.403600000023857,1
60dfdb8bbef17b6739d12215,7,14.31639999997617,1
60dfdb8bbef17b6739d12215,8,4.260300000011966,1
60dfdb8bbef17b6739d12215,9,5.6582,1
60dfdb8bbef17b6739d12215,10,6.8416000000238455,1
60e36d56350e661cf50f2c7e,1,5.405300000000807,1
60e36d56350e661cf50f2c7e,2,5.695899999999483,1
60e36d56350e661cf50f2c7e,3,6.353299999999763,0
60e36d56350e661cf50f2c7e,4,8.280599999999822,1
60e36d56350e661cf50f2c7e,5,11.488700000000108,1
60e36d56350e661cf50f2c7e,6,14.607399999999416,0
60e36d56350e661cf50f2c7e,7,23.22069999999917,1
60e36d56350e661cf50f2c7e,8,19.49139999999943,0
60e36d56350e661cf50f2c7e,9,20.260999999999967,0
60e36d56350e661cf50f2c7e,10,8.192000000000007,1
60e498712f548b22f3ec7c65,1,3.812800003051734,1
60e498712f548b22f3ec7c65,2,22.883600002288745,0
60e498712f548b22f3ec7c65,3,7.093900001525867,1
60e498712f548b22f3ec7c65,4,39.40679999923714,1
60e498712f548b22f3ec7c65,5,31.070799999237124,1
60e498712f548b22f3ec7c65,6,7.979799999237002,1
60e498712f548b22f3ec7c65,7,33.60320000076297,1
60e498712f548b22f3ec7c65,8,4.572000000000003,1
60e498712f548b22f3ec7c65,9,12.580799999237115,1
60e498712f548b22f3ec7c65,10,5.382699997,1
60f8adb9a315f316c3aee425,1,10.085299999997005,1
60f8adb9a315f316c3aee425,2,24.700700000003053,1
60f8adb9a315f316c3aee425,3,5.493900000005851,1
60f8adb9a315f316c3aee425,4,11.66749999999979,1
60f8adb9a315f316c3aee425,5,18.281999999999925,1
60f8adb9a315f316c3aee425,6,19.854900000005955,1
60f8adb9a315f316c3aee425,7,28.135200000003124,1
60f8adb9a315f316c3aee425,8,15.280200000002878,1
60f8adb9a315f316c3aee425,9,24.363400000005868,0
60f8adb9a315f316c3aee425,10,15.670299999997042,1
60fcd0f990314dce9c243fef,1,3.907800000000748,1
60fcd0f990314dce9c243fef,2,9.582000000000107,0
60fcd0f990314dce9c243fef,3,5.3769000000022515,1
60fcd0f990314dce9c243fef,4,7.540699999999333,1
60fcd0f990314dce9c243fef,5,12.693600000001425,1
60fcd0f990314dce9c243fef,6,7.117800000000784,1
60fcd0f990314dce9c243fef,7,18.338500000000067,1
60fcd0f990314dce9c243fef,8,7.4598999999985836,1
60fcd0f990314dce9c243fef,9,8.143000000000029,0
60fcd0f990314dce9c243fef,10,9.964500000000044,1
60ff07f922e9fa09d90159a1,1,6.983400000000302,1
60ff07f922e9fa09d90159a1,2,14.647000000000048,0
60ff07f922e9fa09d90159a1,3,4.773499999999899,0
60ff07f922e9fa09d90159a1,4,7.871999999999957,1
60ff07f922e9fa09d90159a1,5,8.496199999999249,1
60ff07f922e9fa09d90159a1,6,24.616099999999733,1
60ff07f922e9fa09d90159a1,7,14.702899999998522,1
60ff07f922e9fa09d90159a1,8,6.549499999999966,1
60ff07f922e9fa09d90159a1,9,16.53059999999971,0
60ff07f922e9fa09d90159a1,10,5.380499999999984,1
61071ee0d98a6df6efb59716,1,5.037499999999909,1
61071ee0d98a6df6efb59716,2,6.943800000004444,1
61071ee0d98a6df6efb59716,3,13.822899999998526,0
61071ee0d98a6df6efb59716,4,5.711500000000001,1
61071ee0d98a6df6efb59716,5,9.434600000001524,1
61071ee0d98a6df6efb59716,6,30.72819999999558,1
61071ee0d98a6df6efb59716,7,14.297200000002931,1
61071ee0d98a6df6efb59716,8,11.779299999997079,1
61071ee0d98a6df6efb59716,9,18.598500000000058,0
61071ee0d98a6df6efb59716,10,10.77610000000152,1
61088c529cff73b187d19e6d,1,5.771300000011934,1
61088c529cff73b187d19e6d,2,21.54809999996428,1
61088c529cff73b187d19e6d,3,4.021300000011934,0
61088c529cff73b187d19e6d,4,8.452599999964377,1
61088c529cff73b187d19e6d,5,12.144299999952295,1
61088c529cff73b187d19e6d,6,12.124900000035609,1
61088c529cff73b187d19e6d,7,11.136599999964346,1
61088c529cff73b187d19e6d,8,8.133399999976291,1
61088c529cff73b187d19e6d,9,5.4093999999762445,1
61088c529cff73b187d19e6d,10,8.378500000000031,1
610c4e668fad041dbcf2079b,1,4.035300000071516,1
610c4e668fad041dbcf2079b,2,5.950100000023895,0
610c4e668fad041dbcf2079b,3,10.70870000004777,0
610c4e668fad041dbcf2079b,4,8.774000000000001,1
610c4e668fad041dbcf2079b,5,10.95439999997609,1
610c4e668fad041dbcf2079b,6,14.120699999928433,0
610c4e668fad041dbcf2079b,7,23.239399999976172,0
610c4e668fad041dbcf2079b,8,8.023500000000013,1
610c4e668fad041dbcf2079b,9,15.647200000047633,1
610c4e668fad041dbcf2079b,10,9.660399999976107,1
6121aaee9d29f0c6e3bc8bea,1,10.210099999999784,1
6121aaee9d29f0c6e3bc8bea,2,9.439900000000307,1
6121aaee9d29f0c6e3bc8bea,3,12.527400000000398,0
6121aaee9d29f0c6e3bc8bea,4,38.429800000000796,1
6121aaee9d29f0c6e3bc8bea,5,16.75730000000067,1
6121aaee9d29f0c6e3bc8bea,6,12.16390000000024,0
6121aaee9d29f0c6e3bc8bea,7,53.37149999999997,0
6121aaee9d29f0c6e3bc8bea,8,13.14570000000117,1
6121aaee9d29f0c6e3bc8bea,9,11.086499999999887,0
6121aaee9d29f0c6e3bc8bea,10,20.250400000000354,1
6138f7e0ad42e592ca5f2024,1,5.457300000000714,1
6138f7e0ad42e592ca5f2024,2,8.150200000001178,0
6138f7e0ad42e592ca5f2024,3,5.8348,0
6138f7e0ad42e592ca5f2024,4,12.507400000000416,1
6138f7e0ad42e592ca5f2024,5,21.081699999999273,1
6138f7e0ad42e592ca5f2024,6,21.107699999999113,1
6138f7e0ad42e592ca5f2024,7,23.99649999999997,0
6138f7e0ad42e592ca5f2024,8,16.197999999999865,1
6138f7e0ad42e592ca5f2024,9,12.56810000000155,0
6138f7e0ad42e592ca5f2024,10,27.469399999998586,1
6140e85de611a8d1aa7ebc12,1,9.078899999856958,1
6140e85de611a8d1aa7ebc12,2,6.679,0
6140e85de611a8d1aa7ebc12,3,7.924399999857087,1
6140e85de611a8d1aa7ebc12,4,8.155199999809156,1
6140e85de611a8d1aa7ebc12,5,22.127900000095224,1
6140e85de611a8d1aa7ebc12,6,45.95910000014305,1
6140e85de611a8d1aa7ebc12,7,21.892900000095324,1
6140e85de611a8d1aa7ebc12,8,7.319299999952364,1
6140e85de611a8d1aa7ebc12,9,15.98160000014309,1
6140e85de611a8d1aa7ebc12,10,9.291899999856923,1
6145a88c94a2c86532d36b0f,1,3.588400000095362,1
6145a88c94a2c86532d36b0f,2,7.505299999713998,0
6145a88c94a2c86532d36b0f,3,6.546000000000049,0
6145a88c94a2c86532d36b0f,4,7.250699999809285,1
6145a88c94a2c86532d36b0f,5,8.864499999999907,1
6145a88c94a2c86532d36b0f,6,11.777199999809227,0
6145a88c94a2c86532d36b0f,7,15.391700000286164,1
6145a88c94a2c86532d36b0f,8,8.489300000190724,1
6145a88c94a2c86532d36b0f,9,7.199099999904547,1
6145a88c94a2c86532d36b0f,10,9.805900000095562,1
6148f3d1074988c7852c1774,1,4.970000000000027,1
6148f3d1074988c7852c1774,2,7.161599999964324,0
6148f3d1074988c7852c1774,3,6.262099999964221,0
6148f3d1074988c7852c1774,4,5.578500000000076,1
6148f3d1074988c7852c1774,5,8.679699999988088,1
6148f3d1074988c7852c1774,6,7.404099999964274,1
6148f3d1074988c7852c1774,7,13.617800000011925,1
6148f3d1074988c7852c1774,8,5.169499999999971,0
6148f3d1074988c7852c1774,9,5.9339,0
6148f3d1074988c7852c1774,10,6.733800000011911,1
615a084387075364a7462335,1,6.309500000000071,1
615a084387075364a7462335,2,17.556699999809325,1
615a084387075364a7462335,3,10.916400000095337,0
615a084387075364a7462335,4,9.0195,1
615a084387075364a7462335,5,10.302099999904613,1
615a084387075364a7462335,6,11.548699999809287,1
615a084387075364a7462335,7,13.135100000381499,1
615a084387075364a7462335,8,7.687899999618367,1
615a084387075364a7462335,9,9.048599999904809,0
615a084387075364a7462335,10,4.870499999999993,1
622a4950fe920c5a243b8b8c,1,6.3477,1
622a4950fe920c5a243b8b8c,2,12.080599999904734,0
622a4950fe920c5a243b8b8c,3,6.5378000000714565,1
622a4950fe920c5a243b8b8c,4,13.395100000023831,1
622a4950fe920c5a243b8b8c,5,33.41889999997625,1
622a4950fe920c5a243b8b8c,6,42.078700000047775,0
622a4950fe920c5a243b8b8c,7,28.376899999975876,1
622a4950fe920c5a243b8b8c,8,9.5882,1
622a4950fe920c5a243b8b8c,9,39.37819999992848,1
